"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"642",30883,30883,104103,1942,NA,3,1,0,1,1,NA,1,736,725,360,"","Brick","","","Single Family",NA,NA,NA,NA,"","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,16485,"Rossini","","Dr","","","16485 Rossini Dr","Detroit","MI",48205,"","Residential","Single Family Residence / Townhouse","21025078.",42.44417,-82.94936,132,40,5227,0.12,NA,NA,NA,NA,NA,0,0,15900,NA,776,2015,NA,2016-08-26,14000,"","",NA,NA,NA
"672",34779,34779,108499,1906,NA,4,1,0,1,NA,NA,NA,1524,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,3788,"Burns","","St","","","3788 Burns St","Detroit","MI",48214,"","","SingleFamily","",42.370586,-83.000701,NA,NA,3484,0.08,NA,NA,NA,NA,NA,NA,NA,12200,NA,NA,NA,NA,2016-04-12,28500,"","",NA,NA,NA
"681",36331,36331,110224,1922,NA,6,3,0,3,NA,NA,NA,4398,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,2252,"Calvert","","St","","","2252 Calvert St","Detroit","MI",48206,"","","MultiFamily2To4","",42.381525,-83.108342,NA,NA,5662,0.13,NA,NA,NA,NA,NA,NA,NA,32400,NA,NA,NA,NA,2016-03-14,59500,"","",NA,NA,NA
"682",36334,36334,110227,1917,NA,0,4,0,4,NA,NA,NA,2754,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,1510,"Glynn","","Ct","","","1510 Glynn Ct","Detroit","MI",48206,"","","MultiFamily2To4","",42.383789,-83.099441,NA,NA,4791,0.11,NA,NA,NA,NA,NA,NA,NA,13600,NA,NA,NA,NA,2016-05-04,34000,"","",NA,NA,NA
"685",36339,36339,110232,1927,NA,0,3,0,3,NA,NA,NA,2616,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,12308,"Stoepel","","St","","","12308 Stoepel St","Detroit","MI",48204,"","","MultiFamily2To4","",42.379524,-83.139892,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,22200,NA,NA,NA,NA,2016-03-14,30000,"","",NA,NA,NA
"687",36458,36458,110359,1928,NA,0,2,0,2,NA,NA,NA,2098,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,15758,"Wisconsin","","St","","","15758 Wisconsin St","Detroit","MI",48238,"","","MultiFamily2To4","",42.407043,-83.156197,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,NA,2016-04-26,81500,"","",NA,NA,NA
"690",36462,36462,110363,1925,NA,0,2,0,2,NA,NA,NA,2276,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,5510,"Allendale","","St","","","5510 Allendale St","Detroit","MI",48204,"","","MultiFamily2To4","",42.353485,-83.127037,NA,NA,3920,0.09,NA,NA,NA,NA,NA,NA,NA,23600,NA,NA,NA,NA,2016-04-11,92307,"","",NA,NA,NA
"692",36464,36464,110365,1916,NA,0,2,0,2,NA,NA,NA,3074,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,1701,"Virginia Park","","St","","","1701 Virginia Park St","Detroit","MI",48206,"","","MultiFamily2To4","",42.369819,-83.093597,NA,NA,6969,0.16,NA,NA,NA,NA,NA,NA,NA,26000,NA,NA,NA,NA,2016-03-18,67000,"","",NA,NA,NA
"694",36856,36856,110783,1916,NA,4,2.5,1,2,NA,NA,NA,2933,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,1422,"Longfellow","","St","","","1422 Longfellow St","Detroit","MI",48206,"","","SingleFamily","",42.381156,-83.095947,NA,NA,6098,0.14,NA,NA,NA,NA,NA,NA,NA,58000,NA,NA,NA,NA,2016-02-04,61500,"","",NA,NA,NA
"696",36858,36858,110785,1917,NA,6,2,0,2,NA,NA,NA,3600,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,1433,"Longfellow","","St","","","1433 Longfellow St","Detroit","MI",48206,"","","SingleFamily","",42.380622,-83.095771,NA,NA,4800,0.1102,NA,NA,NA,NA,NA,NA,NA,58600,NA,NA,NA,NA,2016-03-28,24000,"","",NA,NA,NA
